정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
(주)경동세라믹스,89146,955,32,955,32,0,32.9
(주)경인양행앞,42096,2174,1253,2174,1253,0,114.23
(주)경인양행앞,42097,2218,5252,2218,5252,0,249
(주)대한특수금속,39050,1006,77,1006,77,0,36.1
(주)두남,39135,161,82,161,82,0,8.1
(주)세모입구(린나이코리아),37585,1519,2051,1519,2051,0,119
(주)세모입구(린나이코리아),40893,447,721,447,721,0,38.93
(주)스킨이데아,89388,1352,3465,1352,3465,0,160.57
(주)스킨이데아,89389,2990,46,2990,46,0,101.2
(주)우리김치,39133,434,3184,434,3184,0,120.6
(주)우리김치,39134,2124,477,2124,477,0,86.7
(주)창원,39029,3321,2913,3321,2913,0,207.8
(주)창원,39030,3682,3501,3682,3501,0,239.43
(주)하나금속,39124,16,64,16,64,0,2.67
17사단.다임메가타운,40895,2661,5128,2661,5128,0,259.63
2001아울렛,40154,3667,6016,3667,6016,0,322.77
2001아울렛,40159,31581,13219,31581,13219,0,1493.33
2001아울렛,40162,10999,21996,10999,21996,0,1099.83
2001아울렛부평점,40158,3915,4149,3915,4149,0,268.8
2차풍림아이원,42584,18,10088,18,10088,0,336.87
3단지,40736,264,1508,264,1508,0,59.07
3단지관리사무소,40107,1722,300,1722,300,0,67.4
41번구종점,42174,1973,6188,1973,6188,0,272.03
510번차고지,36145,822,551,822,551,0,45.77
540번종점,39470,2864,4159,2864,4159,0,234.1
6공단사거리,37577,230,2227,230,2227,0,81.9
6공단입구,37442,511,951,511,951,0,48.73
6공단입구,37443,986,1434,986,1434,0,80.67
8부두,35181,276,2159,276,2159,0,81.17
8부두,35182,1818,3218,1818,3218,0,167.87
BMNR&D센터,89451,570,0,570,0,0,19
BMNR&D센터,89452,5,427,5,427,0,14.4
BMX경기장,90459,8,8,8,8,0,0.53
BMX경기장,90477,3,4,3,4,0,0.23
CJ인천2공장,35591,462,3247,462,3247,0,123.63
CJ인천2공장,35592,2682,139,2682,139,0,94.03
E편한세상,42453,396,401,396,401,0,26.57
E편한세상,42649,1384,6784,1384,6784,0,272.27
E편한세상,42726,6789,1478,6789,1478,0,275.57
GS25편의점,36142,1132,2490,1132,2490,0,120.73
GS칼텍스,35168,598,39,598,39,0,21.23
GS칼텍스,35557,4,2301,4,2301,0,76.83
GS칼텍스,89220,78,699,78,699,0,25.9
GS칼텍스,89224,315,2490,315,2490,0,93.5
GS칼텍스주유소,39814,55,122,55,122,0,5.9
HD현대인프라코어,36081,937,1623,937,1623,0,85.33
HD현대인프라코어,36083,2264,873,2264,873,0,104.57
HD현대인프라코어후문,36078,3237,786,3237,786,0,134.1
JC회관,37383,4179,4330,4179,4330,0,283.63
JST기술연구소,89491,5,2238,5,2238,0,74.77
JST기술연구소,89492,998,27,998,27,0,34.17
KCC아파트,42391,2003,1311,2003,1311,0,110.47
KG모빌리티인천서비스센터,36144,76,1341,76,1341,0,47.23
KG스틸,42008,2549,4487,2549,4487,0,234.53
KTX광명역4번출구,58057,3,29,3,29,0,1.07
KT부평지사,40381,10058,7161,10058,7161,0,573.97
KT부평지사,40384,8198,13033,8198,13033,0,707.7
KT서인천지사,42932,1652,2647,1652,2647,0,143.3
KT서인천지사,42933,1474,826,1474,826,0,76.67
KT송도지점,38568,740,429,740,429,0,38.97
KT온수분국,43523,609,520,609,520,0,37.63
KT인천공항지사,35095,270,301,270,301,0,19.03
KT인천공항지사,35109,6055,3982,6054,3982,1,334.57
KT인천지사,37415,6694,5344,6694,5344,0,401.27
KT인천지사,39319,8199,5287,8199,5287,0,449.53
KT중동지사,55081,920,225,920,225,0,38.17
KT중동지사,55082,216,1142,216,1142,0,45.27
LG마그나,89029,5168,2313,5168,2313,0,249.37
LG마그나,89264,4384,6376,4384,6376,0,358.67
LG물류센터,39043,628,127,628,127,0,25.17
LG물류센터,39044,135,614,135,614,0,24.97
LG전자(주),42297,6043,5195,6043,5195,0,374.6
LH1단지,35494,8348,3911,8347,3911,1,408.63
LH49단지행복주택아파트,35768,736,1670,736,1670,0,80.2
LH49단지행복주택아파트,35769,2228,833,2228,833,0,102.03
LH7단지,35451,3718,2717,3716,2717,2,214.5
LH7단지,35452,2753,4197,2753,4197,0,231.67
LH미추홀3단지,37222,3773,6756,3773,6756,0,350.97
