운행일자,정산사업자,정류장아이디,교통수단구분,정류장명,시도코드(법정동),시도명(법정동),시군구코드(법정동),시군구명(법정동),읍면동코드(법정동),읍면동명(법정동),모바일아이디
2025-06-13,마이비,3100001,버스,동울산우체국,31,울산광역시,31170,동구,3117010400,전하동,정보없음
2025-06-13,마이비,3100002,버스,청량초등학교,31,울산광역시,31710,울주군,3171026221,청량읍,정보없음
2025-06-13,마이비,3100003,버스,청량초등학교,31,울산광역시,31710,울주군,3171026221,청량읍,정보없음
2025-06-13,마이비,3100004,버스,화봉쌍용예가,31,울산광역시,31200,북구,3120012500,화봉동,정보없음
2025-06-13,마이비,3100005,버스,화봉휴먼시아2단지,31,울산광역시,31200,북구,3120012500,화봉동,정보없음
2025-06-13,마이비,3100008,버스,진장중학교,31,울산광역시,31200,북구,3120012100,진장동,정보없음
2025-06-13,마이비,3100009,버스,진장중학교,31,울산광역시,31200,북구,3120012100,진장동,정보없음
2025-06-13,마이비,3100010,버스,성골마을,31,울산광역시,31200,북구,3120011900,어물동,정보없음
2025-06-13,마이비,3100011,버스,성골마을,31,울산광역시,31200,북구,3120011900,어물동,정보없음
2025-06-13,마이비,3100014,버스,한성미트뱅크,31,울산광역시,31200,북구,3120012100,진장동,정보없음
2025-06-13,마이비,3100015,버스,한성미트뱅크,31,울산광역시,31200,북구,3120012100,진장동,정보없음
2025-06-13,마이비,3100016,버스,농수산물종합유통센터후문,31,울산광역시,31200,북구,3120012500,화봉동,정보없음
2025-06-13,마이비,3100017,버스,농수산물종합유통센터후문,31,울산광역시,31200,북구,3120012200,연암동,정보없음
2025-06-13,마이비,3100018,버스,농수산물종합유통센터정문,31,울산광역시,31200,북구,3120012100,진장동,정보없음
2025-06-13,마이비,3100019,버스,농수산물종합유통센터정문,31,울산광역시,31200,북구,3120012100,진장동,정보없음
2025-06-13,마이비,3100021,버스,이마트,31,울산광역시,31140,남구,3114010600,삼산동,정보없음
2025-06-13,마이비,3100023,버스,강변벽산아파트,31,울산광역시,31140,남구,3114010600,삼산동,정보없음
2025-06-13,마이비,3100024,버스,강변벽산아파트,31,울산광역시,31140,남구,3114010600,삼산동,정보없음
2025-06-13,마이비,3100025,버스,진하해수욕장입구,31,울산광역시,31710,울주군,3171031028,서생면,정보없음
2025-06-13,마이비,3100026,버스,진하해수욕장입구,31,울산광역시,31710,울주군,3171031027,서생면,정보없음
2025-06-13,마이비,3100027,버스,차량등록사업소,31,울산광역시,31200,북구,3120012100,진장동,정보없음
2025-06-13,마이비,3100028,버스,온산읍행정복지센터,31,울산광역시,31710,울주군,3171025032,온산읍,정보없음
2025-06-13,마이비,3100029,버스,온산읍행정복지센터,31,울산광역시,31710,울주군,3171025032,온산읍,정보없음
2025-06-13,마이비,3100030,버스,서생포왜성,31,울산광역시,31710,울주군,3171031027,서생면,정보없음
2025-06-13,마이비,3100031,버스,서생포왜성,31,울산광역시,31710,울주군,3171031027,서생면,정보없음
2025-06-13,마이비,3100032,버스,서생면행정복지센터입구,31,울산광역시,31710,울주군,3171031021,서생면,정보없음
2025-06-13,마이비,3100033,버스,서생면행정복지센터입구,31,울산광역시,31710,울주군,3171031021,서생면,정보없음
2025-06-13,마이비,3100034,버스,간절곶,31,울산광역시,31710,울주군,3171031025,서생면,정보없음
2025-06-13,마이비,3100035,버스,간절곶,31,울산광역시,31710,울주군,3171031025,서생면,정보없음
2025-06-13,마이비,3100036,버스,진목회관,31,울산광역시,31710,울주군,3171025923,범서읍,정보없음
2025-06-13,마이비,3100037,버스,진목회관,31,울산광역시,31710,울주군,3171025923,범서읍,정보없음
2025-06-13,마이비,3100038,버스,진목,31,울산광역시,31710,울주군,3171025923,범서읍,정보없음
2025-06-13,마이비,3100039,버스,진목,31,울산광역시,31710,울주군,3171025923,범서읍,정보없음
2025-06-13,마이비,3100040,버스,입암,31,울산광역시,31710,울주군,3171025923,범서읍,정보없음
2025-06-13,마이비,3100041,버스,입암,31,울산광역시,31710,울주군,3171025923,범서읍,정보없음
2025-06-13,마이비,3100042,버스,울산과학기술원정문,31,울산광역시,31710,울주군,3171025921,범서읍,정보없음
2025-06-13,마이비,3100043,버스,울산과학기술원정문,31,울산광역시,31710,울주군,3171025921,범서읍,정보없음
2025-06-13,마이비,3100044,버스,울산과학기술원입구,31,울산광역시,31710,울주군,3171025921,범서읍,정보없음
2025-06-13,마이비,3100045,버스,울산과학기술원입구,31,울산광역시,31710,울주군,3171025921,범서읍,정보없음
2025-06-13,마이비,3100046,버스,울산과학기술원,31,울산광역시,31710,울주군,3171025921,범서읍,정보없음
2025-06-13,마이비,3100047,버스,사연,31,울산광역시,31710,울주군,3171025921,범서읍,정보없음
2025-06-13,마이비,3100048,버스,범서읍행정복지센터,31,울산광역시,31710,울주군,3171025923,범서읍,정보없음
2025-06-13,마이비,3100049,버스,범서읍행정복지센터,31,울산광역시,31710,울주군,3171025922,범서읍,정보없음
2025-06-13,마이비,3100050,버스,대성농수산,31,울산광역시,31710,울주군,3171031028,서생면,정보없음
2025-06-13,마이비,3100052,버스,울산우편집중국,31,울산광역시,31200,북구,3120012100,진장동,정보없음
2025-06-13,마이비,3100053,버스,울산우편집중국,31,울산광역시,31200,북구,3120012100,진장동,정보없음
2025-06-13,마이비,3100057,버스,현대자동차2공장,31,울산광역시,31200,북구,3120012400,양정동,정보없음
2025-06-13,마이비,3100058,버스,현대자동차2공장,31,울산광역시,31200,북구,3120012400,양정동,정보없음
2025-06-13,마이비,3100059,버스,백천마을_울산상업고등학교,31,울산광역시,31710,울주군,3171025924,범서읍,정보없음
2025-06-13,마이비,3100060,버스,울산상업고등학교,31,울산광역시,31710,울주군,3171025924,범서읍,정보없음
2025-06-13,마이비,3100061,버스,루첸아파트,31,울산광역시,31140,남구,3114010400,신정동,정보없음
2025-06-13,마이비,3100062,버스,루첸아파트,31,울산광역시,31140,남구,3114010400,신정동,정보없음
2025-06-13,마이비,3100064,버스,천상청구제네스아파트,31,울산광역시,31710,울주군,3171025922,범서읍,정보없음
2025-06-13,마이비,3100065,버스,천상청구제네스아파트,31,울산광역시,31710,울주군,3171025922,범서읍,정보없음
2025-06-13,마이비,3100066,버스,달천농공단지입구,31,울산광역시,31200,북구,3120010900,달천동,정보없음
2025-06-13,마이비,3100067,버스,달천농공단지입구,31,울산광역시,31200,북구,3120010900,달천동,정보없음
2025-06-13,마이비,3100070,버스,효문동행정복지센터,31,울산광역시,31200,북구,3120012200,연암동,정보없음
